Organizations,Description,Vote,$ Available 2009-10,$ Spent 2009-10,$ Available 2010-11,$ Spent 2010-11,$ Available 2011-12,$ Spent 2011-12
Canadian Transportation Agency,Program expenditures,25,"26,128,490","24,626,357","25,863,213","25,300,749","27,019,920","25,846,976"
Canadian Transportation Agency,Contributions to employee benefit plans,(S),"3,414,941","3,414,941","3,487,195","3,487,195","3,460,547","3,460,547"
Canadian Transportation Agency,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),225,0,"2,445","1,677",932,164
Cape Breton Development Corporation,Payments to the Cape Breton Development Corporation for operating and capital expenditures,20,"73,484,000","73,484,000",,,,
Chief Electoral Officer,Program expenditures,15,"30,886,194","26,746,023","31,418,598","30,224,615","33,620,530","30,834,398"
Chief Electoral Officer,Collection Agency Fees under section 17.1 of the Financial Administration Act,(S),34,34,"2,222","2,222",426,426
Chief Electoral Officer,Contributions to employee benefit plans,(S),"6,194,121","6,194,121","6,756,782","6,756,782","7,530,465","7,530,465"
Chief Electoral Officer,Expenses of elections,(S),"104,426,773","104,426,773","109,258,563","109,258,563","310,650,093","308,316,227"
Chief Electoral Officer,Expenses under Electoral Boundaries Readjustment Act,(S),"88,456","88,456","496,555","496,555",0,"2,333,866"
Chief Electoral Officer,Salary of the Chief Electoral Officer,(S),"298,971","298,971","271,525","271,525","335,439","335,439"
Chief Electoral Officer,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"7,435","7,434","7,376","7,375","1,175","1,174"
Citizenship and Immigration,Operating expenditures,1,"584,265,932","558,277,887","602,353,362","571,289,333","604,916,309","569,530,870"
Citizenship and Immigration,Grants and contributions,5,"959,636,241","938,463,595","976,736,895","953,050,395","966,286,199","948,590,233"
Citizenship and Immigration,"To write-off from the Accounts of Canada 4,726 debts due to Her Majesty in right of Canada amounting to $1,709,358 in the amount of $1,700,056 in 2011-12--Transfer of $9,302 from Citizenship and Immigration Vote 1",7,"828,006","820,949",,,"1,709,358","1,684,523"
Citizenship and Immigration,Collection Agency Fees under section 17.1 of the Financial Administration Act,(S),"8,701","8,701",,,,
Citizenship and Immigration,Contributions to employee benefit plans,(S),"54,407,921","54,407,921","57,015,940","57,015,940","57,968,568","57,968,568"
Citizenship and Immigration,Court Awards - Crown Liability and Proceedings Act,(S),"34,885","34,885","68,969","68,969","113,983","113,984"
Citizenship and Immigration,Minister's Salary and Motor Car Allowance ,(S),"77,638","77,638","77,638","77,638","77,536","77,536"
Citizenship and Immigration,Refunds of Previous Years Revenue,(S),"24,809,733","24,809,733","8,560,597","8,560,597","5,504,249","5,504,249"
Citizenship and Immigration,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"16,317",0,"16,411","5,370","35,336","20,785"
Commissioner for Federal Judicial Affairs,Operating expenditures,20,"8,910,897","8,329,525","8,599,759","7,905,708","9,346,666","8,713,683"
Commissioner for Federal Judicial Affairs,Canadian Judicial Council-Operating expenditures,25,"1,774,796","1,637,353","1,703,166","1,584,244","1,754,600","1,722,471"
Commissioner for Federal Judicial Affairs,Contributions to employee benefit plans,(S),"995,833","995,833","927,226","927,226","944,262","944,262"
Commissioner for Federal Judicial Affairs,"Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office (R.S.C., 1985, c. J-1)",(S),"427,367,849","427,367,849","443,169,201","443,169,201","459,802,737","459,802,737"
Commissioner for Federal Judicial Affairs,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S), ,,452,0,452,0
Communications Security Establishment,Program expenditures,17,,,,,"272,156,314","239,420,258"
Communications Security Establishment,Contributions to employee benefit plans,(S),,,,,"12,436,322","12,436,322"
Communications Security Establishment,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S), ,,,,"5,860",0
Copyright Board,Program expenditures,45,"2,949,721","2,479,796","2,976,601","2,306,856","2,815,245","2,291,651"
Copyright Board,Contributions to employee benefit plans,(S),"251,296","251,296","259,086","259,086","249,622","249,623"
Copyright Board,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),414,0,414,0,,
Correctional Service of Canada,Operating expenditures,25,"1,900,182,342","1,843,191,433","1,985,891,953","1,931,774,588","2,372,541,738","2,075,159,200"
Correctional Service of Canada,Capital expenditures,30,"246,800,000","200,356,601","337,310,720","222,848,605","567,551,977","345,327,345"
Correctional Service of Canada,Contributions to employee benefit plans,(S),"221,698,037","221,698,037","224,444,724","224,444,724","236,931,070","236,931,070"
Correctional Service of Canada,CORCAN Revolving Fund,(S),"9,702,424","-348,011","10,050,435","-4,794,244","14,844,679","8,104,266"
Correctional Service of Canada,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"857,821","204,628","1,991,990","735,535","2,649,098","1,332,226"
Courts Administration Service,Program expenditures,30,"60,222,293","59,231,473","58,033,535","56,779,055","71,518,518","66,072,269"
Courts Administration Service,Contributions to employee benefit plans,(S),"6,937,908","6,937,908","6,859,602","6,859,602","7,146,038","7,146,039"
Courts Administration Service,Refunds of Previous Years Revenue,(S),,,31,31,31,31
Courts Administration Service,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"12,784","7,840","9,018","4,944","12,009","4,074"
Economic Development Agency of Canada for the Regions of Quebec,Operating expenditures,1,"55,277,550","49,871,682","52,596,412","49,840,987","50,757,015","47,559,292"
Economic Development Agency of Canada for the Regions of Quebec,Grants and contributions,5,"287,893,060","246,245,028","472,602,185","418,066,046","266,923,537","252,575,814"
Economic Development Agency of Canada for the Regions of Quebec,Contributions to employee benefit plans,(S),"6,161,861","6,161,861","6,010,189","6,010,189","5,785,435","5,785,435"
Economic Development Agency of Canada for the Regions of Quebec,Minister's Salary and Motor Car Allowance ,(S),"2,122","2,122","2,122","2,122",354,354
Economic Development Agency of Canada for the Regions of Quebec,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"50,154","24,593","31,633",0,"18,082",0
Economic Development Agency of Canada for the Regions of Quebec,Transfer Payments in Connection with the Budget Implementation Act,(S),"95,749,421","95,749,421","6,086,716","6,086,716",,
Enterprise Cape Breton Corporation,Payments to the Enterprise Cape Breton Corporation,10,"10,115,000","10,115,000","83,070,000","83,070,000","80,123,000","77,191,000"
Environment,Operating expenditures,1,"857,172,074","818,556,736","831,969,653","807,166,670","821,643,348","763,861,638"
Environment,Capital expenditures,5,"55,034,740","47,264,018","57,175,740","47,460,313","56,549,748","45,932,023"
Environment,Grants and contributions,10,"132,804,336","101,461,607","162,249,707","115,473,872","93,927,936","72,471,998"
Environment,Contributions to employee benefit plans,(S),"98,011,832","98,011,832","96,312,176","96,312,176","90,825,593","90,825,593"
Environment,Minister's Salary and Motor Car Allowance ,(S),"77,638","77,638","64,935","64,935","77,536","77,536"
Environment,Nature Conservancy of Canada,(S),"29,300,000","29,300,000","21,700,000","21,700,000","33,695,148","33,695,148"
Environment,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"1,306,032","464,223","2,215,106","713,449","2,250,908","1,612,320"
Export Development Canada,Export Development Canada - Administration Charges per Section 23 of the Export Development Act,(S),,,,,"7,053,101","7,053,102"
Export Development Canada,Forgiveness of non-budgetary loans pursuant to Section 23(3) of the Export Development Act,(S),,,,,0,"53,557,507"
Export Development Canada,"Payments to Export Development Canada to discharge obligations incurred pursuant to Section 23 of the Export Development Act (Canada Account) for the purpose of facilitating and developing trade between Canada and other countries (S.C., 2001, c. 33)",(S),,,,,"47,284,811","-6,272,696"
Federal Bridge Corporation Limited,Payments to the Federal Bridge Corporation Limited,30,"40,895,000","2,140,000","55,639,000","417,103","64,699,000","13,994,307"
Federal Economic Development Agency for Southern Ontario,Operating expenditures,50,,,"37,665,924","29,588,996","31,304,196","27,504,687"
Federal Economic Development Agency for Southern Ontario,Grants and Contributions,55,,,"510,610,797","331,144,815","244,567,310","200,104,609"
Federal Economic Development Agency for Southern Ontario,Contributions to employee benefit plans,(S),,,"2,374,136","2,374,136","2,850,512","2,850,512"
Federal Economic Development Agency for Southern Ontario,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),,,,,"2,875",0
Federal Economic Development Agency for Southern Ontario,Transfer Payments in Connection with the Budget Implementation Act,(S),,,"42,494,967","42,494,967",,
Finance,Operating expenditures,1,"135,165,341","121,646,340","128,601,392","112,422,184","133,205,840","121,904,779"
Finance,Grants and contributions,5,"362,206,000","217,331,556","319,195,055","92,860,903","173,194,063","29,535,038"
Finance,"Authority to make payments from April 1, 2011 to March 31, 2012, under the Bretton Woods and Related Agreements Act to the International Bank for Advance Market Commitment an amount not to exceed $9,000,000",7, ,,1,0,1,0
Finance Canada,Additional Fiscal Equalization Offset Payment to Nova Scotia (Nova Scotia and Newfoundland and Labrador Additional Fiscal Equalization Offshore Payments Act),(S),,,,,"33,695,000","33,695,000"
Finance Canada,Additional Fiscal Equalization Payment -- Total Transfer Protection (PartI-- Federal-Provincial Fiscal Arrangements Act),(S),,,"509,503,000","509,503,000",,
Finance Canada,Additional Fiscal Equalization Payment-Total Transfer Protection (BIA 2011),(S),,,,,"952,107,000","952,107,000"
Finance Canada,Additional Fiscal Equalization to Nova Scotia (Part I – Federal-Provincial Fiscal Arrangements Act),(S),,,,,"82,678,000","82,678,000"
Finance Canada,"Agriculture Advance Market Commitment (Bretton Woods and Related Agreements Act, Section 8)",(S),,,"950,000","950,000","9,000,000","9,000,000"
Finance Canada,Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act),(S),"-2,702,590,000","-2,702,590,000","-3,072,554,000","-3,072,554,000","-3,219,731,000","-3,219,731,000"
Finance Canada,Canada Health Transfer,(S),"24,081,039,076","24,081,039,076","25,605,395,286","25,605,395,286","26,941,815,102","26,941,815,102"
Finance Canada,Canada Health Transfer and Canada Social Transfer to Saskatchewan and Newfoundland and Labrador- Total Transfer Protection,(S),,,"15,712,000","15,712,000",,
Finance Canada,Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),(S),"10,857,853,000","10,857,853,000","11,178,825,000","11,178,825,000","11,514,064,000","11,514,064,000"
Finance Canada,Canadian Millenium Scholarship Foundation,(S),,,"-121,257,584","-121,257,584",,
Finance Canada,Contributions to employee benefit plans,(S),"12,961,502","12,961,502","13,512,334","13,512,334","12,608,648","12,608,648"
Finance Canada,Debt payments on behalf of poor countries to International Organizations pursuant to section 18(1) of the Economic Recovery Act,(S),,,"73,417,867","73,417,867","51,200,000","51,200,000"
Finance Canada,"Fast Start Climate Change Financing (Bretton Woods and Related Agreements Act, Section 8)",(S),,,"5,830,000","5,830,000",,
Finance Canada,Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act),(S),"14,185,000,000","14,185,000,000","14,372,000,000","14,372,000,000","14,658,570,000","14,658,570,000"
Finance Canada,Incentive for Provinces to Eliminate Taxes on Capital,(S),"163,400,000","163,400,000","160,924,000","160,924,000","845,100","845,100"
Finance Canada,Interest on Unmatured Debt and Other Public Debt Costs,(S),"27,003,629,235","27,003,629,235","27,863,847,695","27,863,847,695","27,881,332,474","27,881,332,474"
Finance Canada,Losses on Foreign Exchange,(S),"406,014,438","406,014,438","192,244,123","192,244,123","18,173,873","18,173,873"
Finance Canada,Minister's Salary and Motor Car Allowance ,(S),"77,638","77,638","78,151","78,151","79,557","79,557"
Finance Canada,Payment of Liabilities Previously Recorded as Revenue,(S),"2,268,450","2,268,450","2,146,952","2,146,952","14,081,367","14,081,367"
Finance Canada,Payment to Nova Scotia - Offshore Petroleum Resources,(S),"174,500,000","174,500,000",,,,
Finance Canada,Payment to Ontario related to Canada Health Transfer,(S),"489,058,000","489,058,000","160,395,000","160,395,000","-17,984,000","-17,984,000"
Finance Canada,Payments for Pensions Grants or Allowances in respect to the Halifax Relief Pension Continuation Act,(S),"13,131","13,131","1,832","1,832",,
Finance Canada,Payments to Depositors under Financial Institution Depositors Compensation Act,(S),"68,571,831",0,"68,571,831",0,"68,571,831",0
Finance Canada,Payments to International Development Association,(S),"384,280,000","384,280,000","384,280,000","384,280,000","384,280,000","384,280,000"
Finance Canada,Payments to International Monetary Fund's Poverty Reduction and Growth Facility,(S),,,"40,000,000","40,000,000",,
Finance Canada,Payments to the Canadian Securities Regulation Regime Transition Office,(S),"5,400,000","5,400,000","13,255,000","13,255,000","14,345,000","14,345,000"
Finance Canada,Purchase of Domestic Coinage,(S),"133,200,334","133,200,334","101,667,640","101,667,640","114,368,880","114,368,881"
Finance Canada,Refunds of Previous Years Revenue,(S),"17,557","17,557","1,340","1,340",,
Finance Canada,"Small and Medium Enterprise (SME) Finance Challenge (Bretton Woods and Related Agreements Act, Section 8)",(S),,,"20,000,000","20,000,000",,
Finance Canada,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"3,601",0,"1,043",0,,
Finance Canada,"Statutory Subsidies (Constitution Acts, 1867-1982, and Other Statutory Authorities)",(S),"32,157,373","32,157,373","32,148,683","32,148,683","32,148,628","32,148,628"
Finance Canada,Territorial Financing (Part I.1 – Federal-Provincial Fiscal Arrangements Act),(S),"2,497,926,398","2,497,926,398","2,663,566,963","2,663,566,963","2,876,083,006","2,876,083,006"
Finance Canada,Transfer Payments in Connection with the Budget Implementation Act,(S),"74,188,000","74,188,000",,,,
Finance Canada,Transitional assistance to provinces entering into the harmonized value-added tax framework (Part III.1 - Federal-Provincial Fiscal Arrangements Act),(S),"250,000,000","250,000,000","3,769,000,000","3,769,000,000","1,560,200,000","1,560,200,000"
Finance Canada,Transitional Payment to Newfoundland and Labrador,(S),,,,,"536,121,000","536,121,000"
Finance Canada,Wait Times Reduction Transfer (Part V.1 – Federal-Provincial Fiscal Arrangements Act),(S),"250,000,000","250,000,000","250,000,000","250,000,000","250,000,000","250,000,000"
Finance Canada,"Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",(S),"-596,258,793","-596,258,793","-678,205,296","-678,205,296","-709,591,452","-709,591,452"
Financial Consumer Agency of Canada,Payments under Section 13 of the Financial Consumer Agency of Canada Act,(S),"10,754,334","10,754,334","11,628,199","11,628,199","12,281,961","12,281,961"
Financial Consumer Agency of Canada,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),180,83,"1,101","1,101",37,37
Financial Transactions and Reports Analysis Centre of Canada,Program expenditures,30,"49,151,933","45,386,842","51,612,532","46,305,004","55,882,122","53,165,951"
Financial Transactions and Reports Analysis Centre of Canada,Contributions to employee benefit plans,(S),"4,511,354","4,511,354","4,622,943","4,622,943","6,062,129","6,062,129"
First Nations Statistical Institute ,Payments to the First Nations Statistical Institute for operating expenditures,40,"4,700,000","1,567,000","5,000,000","2,615,000","5,000,000","3,957,000"
Fisheries and Oceans,Operating expenditures,1,"1,346,612,673","1,312,644,508","1,344,583,973","1,308,512,708","1,385,820,549","1,313,593,490"
Fisheries and Oceans,Capital expenditures,5,"428,605,846","414,830,302","453,686,346","420,442,927","366,802,585","299,588,070"
Fisheries and Oceans,Grants and contributions,10,"131,074,053","111,779,775","133,416,352","127,009,109","129,472,358","128,647,360"
Fisheries and Oceans,Contributions to employee benefit plans,(S),"137,790,096","137,790,096","135,011,736","135,011,736","133,859,117","133,859,117"
Fisheries and Oceans,Losses on Foreign Exchange,(S),"8,931","8,931",,,"15,934","15,934"
Fisheries and Oceans,Minister's Salary and Motor Car Allowance ,(S),"77,638","77,638","77,638","77,638","77,536","77,536"
Fisheries and Oceans,Refunds of Previous Years Revenue,(S),"1,628,381","1,628,381","14,085","14,085","10,005","10,005"
Fisheries and Oceans,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"3,201,329","2,477,863","6,263,345","1,831,277","8,884,113","5,091,254"
Foreign Affairs and International Trade,Operating expenditures,1,"1,502,948,042","1,374,339,967","1,693,123,351","1,543,631,038","1,455,482,132","1,358,450,363"
Foreign Affairs and International Trade,Capital expenditures,5,"197,422,695","188,313,656","234,346,481","190,642,416","227,740,097","167,282,401"
Foreign Affairs and International Trade,Grants and contributions,10,"899,358,582","826,748,678","963,886,292","856,926,083","899,458,883","781,849,465"
Foreign Affairs and International Trade,"In accordance with subsection 4(3) of the Revolving Funds Act (R.S., 1985, c. R-8), to increase from$4,000,000 to $89,000,000, for the period commencing April 1, 2010 and ending March 31, 2011, the amount by which the aggregate of expenditures made for the purpose of the fund may exceed the revenues for Passport Canada",12, ,,1,0,,
Foreign Affairs and International Trade,"Passport Office Revolving Fund-In accordance with section 12 of the Revolving Funds Act (R.S., 1985, c. R-8), to amend subsection 4(3) of that Act by increasing from $4,000,000 to $131,204,000, for the period commencing April 1, 2011 and ending March 31, 2012 , the amount by which the aggregate of expenditures made for the purpose of the fund may exceed the revenues for Passport Canada.",15,"10,000,000","9,833,848",,,2,0
Foreign Affairs and International Trade,"Payments, in respect of pension, insurance and social security programs or other arrangements for employees locally engaged outside of Canada",17, ,,,,"70,140,001","59,841,306"
Foreign Affairs and International Trade,Collection Agency Fees under section 17.1 of the Financial Administration Act,(S),"8,968","8,968","3,216","3,216",189,189
Foreign Affairs and International Trade,Contributions to employee benefit plans,(S),"95,634,362","95,634,362","92,907,500","92,907,500","90,041,655","90,041,655"
Foreign Affairs and International Trade,Court Awards - Crown Liability and Proceedings Act,(S),,,"10,937","10,937","2,434","2,434"
Foreign Affairs and International Trade,Export Development Canada - Administration Charges per Section 23 of the Export Development Act,(S),"6,034,597","6,034,597","7,127,601","7,127,601",,
Foreign Affairs and International Trade,Forgiveness of non-budgetary loans pursuant to Section 23(3) of the Export Development Act,(S),"6,603,528,658","6,603,528,658",,,,
Foreign Affairs and International Trade,Losses on Foreign Exchange,(S),"879,394,972","879,394,972","183,416,108","183,416,108","2,206,688","2,206,688"
Foreign Affairs and International Trade,Minister's Salary and Motor Car Allowance ,(S),"157,347","157,347","157,398","157,398","157,093","157,093"
Foreign Affairs and International Trade,"Passport Office Revolving Fund (Revolving Funds Act (R.S.C., 1985, c. R-8))",(S),"52,250,397","4,313,466","132,936,931","16,791,745","158,349,186","19,528,819"
Foreign Affairs and International Trade,"Payments to Export Development Canada to discharge obligations incurred pursuant to Section 23 of the Export Development Act (Canada Account) for the purpose of facilitating and developing trade between Canada and other countries (S.C., 2001, c. 33)",(S),"-30,173,829","-30,173,829","-50,952,799","-50,952,799",,
Foreign Affairs and International Trade,"Payments under the Diplomatic Service (Special) Superannuation Act (R.S.C., 1985, c. D-2)",(S),"117,671","117,671","83,466","83,466","87,774","87,774"
Foreign Affairs and International Trade,Refunds of Previous Years Revenue,(S),"82,325","82,325","104,163","104,163",,
Foreign Affairs and International Trade,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"3,651,680","3,221,687","1,934,499","938,591","3,179,280","3,017,379"
Foreign Affairs and International Trade,Transfer Payments in Connection with the Budget Implementation Act,(S),"4,700,000","4,700,000",,,,
Governor General,Program expenditures,1,"17,484,766","16,314,140","18,125,795","17,446,351","19,786,196","18,898,965"
Governor General,"Annuities payable under the Governor General's Act (R.S.C., 1985 c. G-9)",(S),"398,679","398,679","450,004","450,004","523,069","523,069"
Governor General,Contributions to employee benefit plans,(S),"2,102,169","2,102,169","2,196,707","2,196,707","2,171,136","2,171,136"
Governor General,Other Statutory Salaries and Allowances,(S),"129,068","129,068","130,732","130,732","134,221","134,220"
Governor General,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"2,576","2,563",35,0,"11,805",0
Hazardous Materials Information Review Commission,Program expenditures,30,"5,374,666","5,233,014","5,347,307","5,440,827","4,211,451","3,937,785"
Hazardous Materials Information Review Commission,Contributions to employee benefit plans,(S),"611,092","611,092","625,542","625,542","593,184","593,184"
Hazardous Materials Information Review Commission,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),721,721,,,,
Health,Operating expenditures,1,"2,016,101,829","1,967,729,459","2,050,283,756","1,971,107,143","2,130,078,529","2,016,186,192"
Health,Capital expenditures,5,"53,483,405","47,005,342","40,080,772","37,288,793","35,096,306","32,940,862"
Health,Grants and contributions,10,"1,528,218,124","1,519,193,892","1,542,740,332","1,518,261,007","1,536,542,909","1,511,881,318"
Health,Canada Health Infoway Inc.,(S),"64,490,000","64,490,000","91,837,792","91,837,792","87,880,640","87,880,640"
Health,Collection Agency Fees under section 17.1 of the Financial Administration Act,(S),"22,747","22,747","17,714","17,714","12,919","12,919"
Health,Contributions to employee benefit plans,(S),"139,768,425","139,768,425","133,646,560","133,646,560","136,483,945","136,483,945"
Health,Court Awards - Crown Liability and Proceedings Act,(S),"98,977","98,977",,,"25,909","25,909"
Health,Minister's Salary and Motor Car Allowance ,(S),"77,638","77,638","77,638","77,638","77,536","77,536"
Health,Payments in Connection with the Patent Act (Patented Medicines),(S),"9,328,007","9,328,007",,,,
Health,Refunds of Previous Years Revenue,(S),"861,588","861,588","297,383","297,383","687,771","687,771"
Health,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"864,632","321,231","652,100","40,822","494,907","122,594"
House of Commons,Program expenditures,5,"292,109,942","277,013,936","290,992,318","274,478,137","294,169,478","274,982,549"
House of Commons,Contributions to employee benefit plans,(S),"35,657,452","35,657,452","35,346,405","35,346,405","35,017,888","35,017,888"
House of Commons,Members of the House of Commons – Salaries and allowances of Officers and Members of the House of Commons under the Parliament of Canada Act and contributions to the Members of Parliament Retiring Allowances Account and the Members of Parliament Retirement,(S),"115,020,532","115,020,532","114,439,410","114,439,410","117,234,469","117,234,468"
Human Resources and Skills Development,Operating expenditures,1,"752,891,897","721,277,140","763,863,486","743,219,321","783,436,633","769,346,179"
Human Resources and Skills Development,Grants and contributions,5,"2,053,834,515","1,914,394,807","2,287,753,025","2,073,371,935","1,868,885,713","1,647,406,307"
Human Resources and Skills Development,"To write-off from the Accounts of Canada 61,791 debts due to Her Majesty in right of Canada amounting to $149,541,766 related to Canada Student Loans accounts",7,"87,104","84,434",,,"311,768,275","302,417,361"
Human Resources and Skills Development,"Allowance Payments (R.S.C., 1985, c. O-9)",(S),"534,857,467","534,857,467","540,510,880","540,510,880","555,962,022","555,962,022"
Human Resources and Skills Development,Benefit Enhancement Measures  - Employment Insurance Operating Account,(S),,,"2,900,000,000","2,900,000,000",,
Human Resources and Skills Development,Canada Disability Savings Bond payments to Registered Disability Savings Plan (RDSP) issuers on behalf of RDSP beneficiaries to encourage long-term financial security of eligible individuals with disabilities,(S),"42,934,743","42,934,743","36,410,724","36,410,724","70,009,827","70,009,827"
Human Resources and Skills Development,Canada Disability Savings Grant payments to Registered Disability Savings Plan (RDSP) issuers on behalf of RDSP beneficiaries to encourage long-term financial security of eligible individuals with disabilities,(S),"83,880,362","83,880,362","91,839,694","91,839,694","142,831,948","142,831,948"
Human Resources and Skills Development,Canada Education Savings grant payments to Registered Education Savings Plan (RESP) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children,(S),"615,738,740","615,738,740","670,557,773","670,557,773","691,542,116","691,542,116"
Human Resources and Skills Development,Canada Learning Bond payments to Registered Education Savings Plan (RESP) trustees on behalf of RESP beneficiaries to support access to post-secondary education for children from low-income families,(S),"56,648,408","56,648,408","66,851,206","66,851,206","88,453,542","88,453,542"
Human Resources and Skills Development,Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,(S),"533,687,339","533,687,339","620,686,072","620,686,072","648,936,690","648,936,690"
Human Resources and Skills Development,Civil Service Insurance actuarial liability adjustments,(S),"56,849","56,849","49,593","49,593","-12,507","-12,507"
Human Resources and Skills Development,Contributions to employee benefit plans,(S),"287,093,603","287,093,603","269,092,675","269,092,675","259,792,635","259,792,635"
Human Resources and Skills Development,Energy Cost Benefit,(S),"-6,185","-6,185",,,"-7,875","-7,875"
Human Resources and Skills Development,"Guaranteed Income Supplement Payments (R.S.C., 1985, c. O-9)",(S),"7,736,633,308","7,736,633,308","7,901,134,760","7,901,134,760","8,638,062,109","8,638,062,109"
Human Resources and Skills Development,Minister's Salary and Motor Car Allowance ,(S),"156,370","156,370","157,398","157,398","157,093","157,093"
Human Resources and Skills Development,"Old Age Security Payments (R.S.C., 1985, c. O-9)",(S),"26,391,340,840","26,391,340,840","27,213,489,490","27,213,489,490","28,868,796,840","28,868,796,840"
Human Resources and Skills Development,"Payments of compensation respecting government employees (R.S.C., 1985, c. G-5) and merchant seamen (R.S.C., 1985, c. M-6)",(S),"37,101,923","37,101,923","30,421,127","30,421,127","43,865,837","43,865,836"
Human Resources and Skills Development,Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act,(S),"235,906,383","235,906,383","462,689,776","462,689,776","493,520,224","493,520,224"
Human Resources and Skills Development,Refunds of Previous Years Revenue,(S),405,405,"78,917","78,917","21,015","21,015"
Human Resources and Skills Development,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"148,179","49,179","165,694","46,156","230,508","79,657"
Human Resources and Skills Development,Spending pursuant to Section 12(4) of the Canada Education Savings Act,(S),"359,463","308,695","441,214","389,463","745,427","310,446"
Human Resources and Skills Development,Supplementary Retirement Benefits – Annuities agents' pensions,(S),"6,155","6,155","5,708","5,708","4,237","4,237"
Human Resources and Skills Development,The provision of funds for interest and other payments to lending institutions and liabilities under the Canada Student Financial Assistance Act,(S),"11,623,280","11,623,280","7,661,095","7,661,095","10,834,527","10,834,527"
Human Resources and Skills Development,The provision of funds for interest payments to lending institutions under the Canada Student Loans Act,(S),"5,144","5,144","13,276","13,276","6,526","6,526"
Human Resources and Skills Development,The provision of funds for liabilities including liabilities in the form of guaranteed loans under the Canada Student Loans Act,(S),"-9,449,287","-9,449,287","-7,570,680","-7,570,680","-8,475,496","-8,475,496"
Human Resources and Skills Development,Transfer Payments in Connection with the Budget Implementation Act,(S),,,"2,000,000","2,000,000","6,000,000","6,000,000"
Human Resources and Skills Development,Universal Child Care Benefit,(S),"2,593,607,427","2,593,607,427","2,651,153,321","2,651,153,321","2,691,016,827","2,691,016,827"
Human Resources and Skills Development,"Wage Earner Protection Program payments to eligible applicants owed wages and vacation pay, severance pay and termination pay from employers who are either bankrupt or in receivership as well as payments to trustees and receivers who will provide the necessary information to determine eligibility",(S),"35,052,641","35,052,641","31,931,901","31,931,901","32,573,800","32,573,800"
Immigration and Refugee Board of Canada,Program expenditures,10,"110,747,944","101,131,094","117,208,713","111,917,964","151,424,328","126,367,421"
Immigration and Refugee Board of Canada,Contributions to employee benefit plans,(S),"12,932,829","12,932,829","13,639,316","13,639,316","14,439,588","14,439,588"
Immigration and Refugee Board of Canada,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"2,309","2,309","1,303","1,303","1,615","1,615"
Indian Affairs and Northern Development,Operating expenditures,1,"1,248,161,329","1,225,379,466","1,403,926,188","1,351,027,909","1,387,289,273","1,343,312,841"
Indian Affairs and Northern Development,Capital expenditures,5,"1,159,000","334,410","10,666,000","23,000","5,102,055","2,054,014"
Indian Affairs and Northern Development,Grants and contributions,10,"6,133,098,286","5,802,264,412","6,600,251,357","6,554,975,289","6,371,857,634","6,338,019,045"
Indian Affairs and Northern Development,Payments to Canada Post Corporation,15,"66,200,000","58,313,980","59,000,000","59,000,000",,
Indian Affairs and Northern Development,Office of the Federal Interlocutor for Métis and non-status Indians--Operating expenditures,20,"9,386,116","8,428,060","9,860,733","9,213,258",,
Indian Affairs and Northern Development,Office of the Federal Interlocutor for Métis and non-status Indians--Contributions,25,"32,386,836","31,370,412","29,939,000","29,259,211",,
